sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
TCGA-MH-A562-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,8.195
TCGA-FS-A1ZT-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-1.117
TCGA-B2-3923-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.234
TCGA-55-8204-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.963
TCGA-86-7711-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.223
TCGA-KN-8428-11,TCGA,Kidney Chromophobe,Solid Tissue Normal,Kidney Chromophobe,7.58
TCGA-QS-A5YR-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,8.474
TCGA-L4-A4E6-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.583
TCGA-L5-A8NJ-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,8.851
GTEX-145MH-0011-R10b-SM-5PNUK,GTEX,Brain - Frontal Cortex (Ba9),Normal Tissue,Brain - Frontal Cortex (Ba9),0.1903
TCGA-DX-A1L0-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-0.8599
TCGA-04-1536-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.568
GTEX-ZYVF-2726-SM-5GID4,GTEX,Stomach,Normal Tissue,Stomach,-0.5543
GTEX-11GS4-0426-SM-5N9CD,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-3.626
GTEX-131XF-1826-SM-5EGKG,GTEX,Thyroid,Normal Tissue,Thyroid,6.742
TCGA-XD-AAUH-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,7.174
GTEX-13SLX-0526-SM-5S2ON,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.088
GTEX-139T8-0326-SM-5IJCM,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.7346
TCGA-77-8008-11,TCGA,Lung Squamous Cell Carcinoma,Solid Tissue Normal,Lung Squamous Cell Carcinoma,6.001
